"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"RSM00026063","ST. PETERSBURG, RS","2023-04-15","0.00","40","47",
"RSM00026063","ST. PETERSBURG, RS","2023-04-16","0.00","44",,
"RSM00026063","ST. PETERSBURG, RS","2023-04-17","0.00","44","56",
"RSM00026063","ST. PETERSBURG, RS","2023-04-18","0.00","45","56",
"RSM00026063","ST. PETERSBURG, RS","2023-04-19","0.00","46","56",
"RSM00026063","ST. PETERSBURG, RS","2023-04-20","0.01","45",,
"RSM00026063","ST. PETERSBURG, RS","2023-04-21","0.00","49",,"37"
"RSM00026063","ST. PETERSBURG, RS","2023-04-22","0.00","52",,
"RSM00026063","ST. PETERSBURG, RS","2023-04-23","0.00","53",,
"RSM00026063","ST. PETERSBURG, RS","2023-04-24","0.00","58",,
"RSM00026063","ST. PETERSBURG, RS","2023-04-25","0.00","60",,
"RSM00026063","ST. PETERSBURG, RS","2023-04-26","0.00","59","71",
"RSM00026063","ST. PETERSBURG, RS","2023-04-27","0.08","46",,
"RSM00026063","ST. PETERSBURG, RS","2023-04-28","0.20","43","50",
"RSM00026063","ST. PETERSBURG, RS","2023-04-29","0.04","42",,
"RSM00026063","ST. PETERSBURG, RS","2023-04-30","0.08","45",,
"RSM00026063","ST. PETERSBURG, RS","2023-05-01","0.00","44",,
"RSM00026063","ST. PETERSBURG, RS","2023-05-02","0.12","51",,
"RSM00026063","ST. PETERSBURG, RS","2023-05-03","0.16","45",,
"RSM00026063","ST. PETERSBURG, RS","2023-05-04","0.00","38",,
"RSM00026063","ST. PETERSBURG, RS","2023-05-05","0.04","36","42","31"
"RSM00026063","ST. PETERSBURG, RS","2023-05-06","0.00","39","46",
"RSM00026063","ST. PETERSBURG, RS","2023-05-07","0.00","43","52",
"RSM00026063","ST. PETERSBURG, RS","2023-05-08","0.00","47","56",
"RSM00026063","ST. PETERSBURG, RS","2023-05-09","0.00","50",,
"RSM00026063","ST. PETERSBURG, RS","2023-05-10","0.00","51",,
"RSM00026063","ST. PETERSBURG, RS","2023-05-11","0.00","54",,
"RSM00026063","ST. PETERSBURG, RS","2023-05-12","0.00","57",,
